Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"APOL1","Apolipoprotein L1","Protein Coding","O14791","55","GC22P036253","2.174480676651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL1"
"MIR34B","MicroRNA 34b","RNA Gene","","30","GC11P112710","2.17393970489502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34B"
"CYP11B2","Cytochrome P450 Family 11 Subfamily B Member 2","Protein Coding","P19099","59","GC08M142910","2.16957640647888","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP11B2"
"LRP1","LDL Receptor Related Protein 1","Protein Coding","Q07954","61","GC12P057128","2.1683292388916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1"
"VIP","Vasoactive Intestinal Peptide","Protein Coding","P01282","56","GC06P152750","2.15872240066528","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIP"
"ARG1","Arginase 1","Protein Coding","P05089","62","GC06P158145","2.15671610832214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARG1"
"SPAST","Spastin","Protein Coding","Q9UBP0","54","GC02P032063","2.15671610832214","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPAST"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","P17948","63","GC13M028300","2.15303134918213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"BSCL2","BSCL2 Lipid Droplet Biogenesis Associated, Seipin","Protein Coding","Q96G97","55","GC11M132685","2.14835667610168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSCL2"
"HNRNPUL2-BSCL2","HNRNPUL2-BSCL2 Readthrough (NMD Candidate)","RNA Gene","","25","GC11M132686","2.14835667610168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPUL2-BSCL2"
"FCGR3B","Fc Gamma Receptor IIIb","Protein Coding","O75015","55","GC01M161623","2.14602994918823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3B"
